2 front headrests,2 rear headrests,3 front headrests,3 rear headrests,4-wheel ABS,Emergency braking assist,Front and rear ventilated disc brakes,Front center 3-point belt,LED headlamp,Passenger airbag deactivation switch,Passenger airbag occupant sensing deactivation,Rear center 3-point belt,Rear door child safety locks,Rear fixed headrests,Rear folding headrests,Rear height adjustable headrests,Rear integrated headrests,Rear power adjustable headrests,Turn signal mirrors,Unnamed: 0,Ventilated front disc / rear drum brakes,Ventilated front disc / solid rear disc brakes,adaptive headlights,auto delay off headlamps,blind spot and lane departure warnings accident avoidance system,blind spot warning accident avoidance system,brake drying,child seat anchors,cornering lights,daytime running lights,driver only with head protection chamber side-mounted airbags,dual front and dual rear side-mounted airbags,dual front and dual rear with head protection chambers side-mounted airbags,dual front side-mounted airbags,dual front with head protection chambers side-mounted airbags,dusk sensing headlamps,emergency braking preparation,engine immobilizer,front and rear head airbags,front fog/driving lights,front head airbags,"front, rear and third row head airbags",high pressure washers headlamps,lane departure warning accident avoidance system,post-collision safety system,pre-collision safety system,remote anti-theft alarm system,self-leveling headlights,stability control,tire pressure monitoring,traction control,xenon high intensity discharge headlamp,Base engine size,Base engine type,Cam type,Cylinders_x,Horsepower,Torque,Turning circle,Valve timing,Valves,cylinder deactivation,direct injection,Basic Warranty,Combined MPG,Cylinders_y,Drive Train,Engine Type,Total Seating,Transmission,car_model,price
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,yes,4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,no,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,yes,no,yes,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,206 hp @ 6800 rpm,182 ft-lbs. @ 4500 rpm,39.2 ft.,Variable,16,no,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,28100
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,Special Edition 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,,no,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,28900
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,Premium Package 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,,yes,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,30100
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,Technology Plus Package 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,,yes,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,33100
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,Premium and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,yes,no,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,yes,yes,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,32100
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,Technology Plus and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,,yes,,yes,,yes,,,,yes,,yes,,yes,yes,yes,,,,,,,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,35100
yes,,,yes,yes,yes,,,yes,,yes,yes,yes,,,yes,,,,AcuraWatch Plus Package 4dr Sedan (2.4L 4cyl 8AM),,yes,,yes,yes,no,,yes,,yes,,,,yes,,yes,,yes,yes,yes,,,,,yes,yes,yes,,yes,yes,yes,,2.4 L,gas,Double overhead cam (DOHC),inline 4,201 hp @ 6800 rpm,180 ft-lbs. @ 3800 rpm,36.8 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,8-speed automated manual,2018 Acura ILX Sedan Features & Specs | Edmunds,29400
yes,yes,,,yes,yes,,,yes,,yes,yes,yes,,,yes,,,yes,Sport Hybrid SH-AWD w/Technology Package 4dr SUV AWD (3.0L 6cyl gas/electric hybrid 7AM),,yes,,yes,yes,,,yes,,yes,,,,yes,,yes,,yes,,yes,,yes,,no,yes,yes,yes,,yes,yes,yes,,3.0 L,hybrid,Single overhead cam (SOHC),V6,321 hp @ 6300 rpm,289 ft-lbs. @ 5000 rpm,38.4 ft.,Variable,24,yes,no,4 yr./ 50000 mi.,23,V6,front wheel drive,gas,7,9-speed shiftable automatic,2019 Acura MDX SUV Features & Specs | Edmunds,52800
yes,yes,,,yes,yes,,,yes,,yes,no,yes,,,yes,,,yes,Sport Hybrid SH-AWD w/Advance Package 4dr SUV AWD (3.0L 6cyl gas/electric hybrid 7AM),,yes,,yes,yes,,,yes,,yes,,,,yes,,yes,,yes,,,,yes,,no,yes,yes,yes,,yes,yes,yes,,3.5 L,gas,Single overhead cam (SOHC),V6,290 hp @ 6200 rpm,267 ft-lbs. @ 4700 rpm,38.7 ft.,Variable,24,yes,yes,4 yr./ 50000 mi.,23,V6,front wheel drive,gas,6,9-speed shiftable automatic,2019 Acura MDX SUV Features & Specs | Edmunds,59550
yes,yes,,,yes,yes,,,yes,,yes,yes,yes,,,yes,,,yes,SH-AWD w/Technology Package 4dr SUV AWD (3.5L 6cyl 9A),,yes,,yes,yes,,,yes,,yes,,,,yes,,yes,,yes,,,,yes,,no,yes,yes,yes,,yes,yes,yes,,3.5 L,gas,Single overhead cam (SOHC),V6,290 hp @ 6200 rpm,267 ft-lbs. @ 4700 rpm,38.7 ft.,Variable,24,yes,yes,4 yr./ 50000 mi.,22,V6,all wheel drive,gas,7,9-speed shiftable automatic,2019 Acura MDX SUV Features & Specs | Edmunds,51300
