STATION,ZIPCODE,NETTRAFFIC,POPULATION,MALEPOP,FEMALEPOP,INCOMEPERHH,NUMOFBUSINESS
34 ST-PENN STA,10001,1359919,27384,48,52,85168,7296
34 ST-HERALD SQ,10001,1235562,27384,48,52,85168,7296
TIMES SQ-42 ST,10036,1202284,32315,56,44,83812,6085
59 ST COLUMBUS,10023,821797,66985,45,55,115080,2280
GRD CNTRL-42 ST,10017,714067,17680,45,55,106795,4892
59 ST,10022,703646,31924,45,55,123693,6309
FLUSHING-MAIN,11354,640164,54878,47,53,43660,3586
CHAMBERS ST,10007,630919,6988,57,43,234958,1492
86 ST,10024,614139,59283,46,54,118594,1971
42 ST-PORT AUTH,10036,595416,24711,56,44,83812,6085
